kind,source_segment,source_offset,source_linear,target_segment,target_offset,target_linear
near_jump,5915,32,94672,5915,39,94679
far_call,3106,22061,71757,5915,706,95346
near_jump,3106,22070,71766,3106,22098,71794
near_jump,3106,22091,71787,3106,22081,71777
far_call,3106,15332,65028,5915,706,95346
near_jump,3106,15343,65039,3106,15348,65044
near_jump,3106,15345,65041,3106,15641,65337
far_call,3106,24630,74326,5915,706,95346
near_jump,3106,24647,74343,3106,24672,74368
near_jump,3106,24655,74351,3106,24672,74368
near_jump,3106,24661,74357,3106,24672,74368
far_call,3106,3606,53302,5915,706,95346
near_jump,3106,3617,53313,3106,3626,53322
far_call,2065,14638,47678,5915,706,95346
near_jump,2065,14651,47691,2065,14668,47708
near_jump,2065,14657,47697,2065,14668,47708
far_call,2065,10486,43526,5915,706,95346
near_jump,2065,10497,43537,2065,10531,43571
near_jump,2065,10504,43544,2065,10531,43571
near_jump,2065,10518,43558,2065,10531,43571
near_jump,2065,10529,43569,2065,10540,43580
far_call,3106,9842,59538,5915,706,95346
far_call,3106,9857,59553,5915,5736,100376
far_call,3106,9869,59565,5915,5722,100362
far_call,3106,9885,59581,5915,5736,100376
far_call,3106,9901,59597,5915,5736,100376
far_call,3106,9917,59613,5915,5736,100376
far_call,3106,9933,59629,5915,5736,100376
far_call,3106,9945,59641,5915,5722,100362
far_call,3106,9960,59656,5915,5736,100376
far_call,3106,9976,59672,5915,5736,100376
far_call,3106,9988,59684,5915,5722,100362
far_call,3106,10004,59700,5915,5736,100376
far_call,3106,10020,59716,5915,5736,100376
far_call,3106,10036,59732,5915,5736,100376
near_jump,3106,10113,59809,3106,10120,59816
near_jump,3106,10118,59814,3106,10123,59819
far_call,3106,22930,72626,5915,706,95346
far_call,3106,22949,72645,5915,3700,98340
near_jump,3106,22961,72657,3106,22972,72668
near_jump,5915,5230,99870,5915,5237,99877
far_call,5782,16,92528,5915,706,95346
far_call,5782,22,92534,3106,1866,51562
near_jump,5782,96,92608,5782,125,92637
near_jump,5782,105,92617,5782,125,92637
near_jump,5782,114,92626,5782,125,92637
near_jump,5782,123,92635,5782,131,92643
far_call,5782,135,92647,5915,5750,100390
far_call,5782,146,92658,5915,6516,101156
far_call,5782,158,92670,3106,22490,72186
near_jump,5782,172,92684,5782,198,92710
far_call,5782,178,92690,5915,1528,96168
far_call,5782,190,92702,5915,471,95111
far_call,5782,202,92714,3106,22490,72186
near_jump,5782,216,92728,5782,242,92754
far_call,5782,222,92734,5915,1528,96168
far_call,5782,234,92746,5915,471,95111
near_jump,5782,247,92759,5782,290,92802
far_call,5782,249,92761,3106,3012,52708
near_jump,5782,269,92781,5782,266,92778
near_jump,5782,277,92789,5782,274,92786
near_jump,5782,285,92797,5782,282,92794
near_jump,5782,321,92833,5782,386,92898
near_jump,5782,350,92862,5782,355,92867
near_jump,5915,712,95352,5915,725,95365
near_jump,5915,718,95358,5915,725,95365
far_call,2065,14,33054,5915,706,95346
near_jump,2065,47,33087,2065,110,33150
near_jump,2065,108,33148,2065,232,33272
far_call,3106,3131,52827,5915,706,95346
near_jump,3106,3153,52849,3106,3175,52871
near_jump,3106,3170,52866,3106,3175,52871
near_jump,3106,3172,52868,3106,3458,53154
far_call,3106,3469,53165,5915,706,95346
far_call,3106,3497,53193,5915,5736,100376
far_call,3106,3508,53204,5915,5722,100362
far_call,3106,3536,53232,5915,5736,100376
far_call,3106,3551,53247,5915,5736,100376
far_call,3106,3562,53258,5915,5722,100362
far_call,3106,3590,53286,5915,5736,100376
far_call,3106,25672,75368,5915,706,95346
near_jump,3106,25684,75380,3106,25746,75442
far_call,3106,25694,75390,5915,5736,100376
far_call,3106,25710,75406,5915,5736,100376
near_jump,3106,25736,75432,3106,25744,75440
near_jump,3106,25742,75438,3106,25746,75442
far_call,3106,18494,68190,5915,706,95346
far_call,3106,18509,68205,5915,5722,100362
near_jump,3106,18519,68215,3106,18532,68228
near_jump,3106,18530,68226,3106,18505,68201
near_jump,3106,18537,68233,3106,18555,68251
far_call,3106,18547,68243,5915,5736,100376
far_call,3106,18565,68261,5915,5722,100362
near_jump,3106,18575,68271,3106,18588,68284
near_jump,3106,18586,68282,3106,18561,68257
near_jump,3106,18593,68289,3106,18611,68307
far_call,3106,18603,68299,5915,5736,100376
far_call,3106,18621,68317,5915,5722,100362
near_jump,3106,18631,68327,3106,18644,68340
near_jump,3106,18642,68338,3106,18617,68313
near_jump,3106,18649,68345,3106,18667,68363
far_call,3106,18659,68355,5915,5736,100376
far_call,3106,18677,68373,5915,5722,100362
near_jump,3106,18687,68383,3106,18700,68396
near_jump,3106,18698,68394,3106,18673,68369
near_jump,3106,18705,68401,3106,18723,68419
far_call,3106,18715,68411,5915,5736,100376
far_call,3106,18733,68429,5915,5722,100362
near_jump,3106,18743,68439,3106,18756,68452
near_jump,3106,18754,68450,3106,18729,68425
near_jump,3106,18761,68457,3106,18779,68475
far_call,3106,18771,68467,5915,5736,100376
far_call,3106,18789,68485,5915,5722,100362
near_jump,3106,18799,68495,3106,18812,68508
near_jump,3106,18810,68506,3106,18785,68481
near_jump,3106,18817,68513,3106,18835,68531
far_call,3106,18827,68523,5915,5736,100376
far_call,3106,2152,51848,5915,706,95346
near_jump,3106,2164,51860,3106,2173,51869
near_jump,3106,2171,51867,3106,2182,51878
near_jump,5915,6505,101145,5915,6514,101154
far_call,5915,6550,101190,5915,6772,101412
far_call,3106,15914,65610,5915,706,95346
near_jump,3106,15929,65625,3106,16010,65706
near_jump,3106,15936,65632,3106,15943,65639
near_jump,3106,15960,65656,3106,15996,65692
near_jump,3106,15967,65663,3106,15996,65692
near_jump,3106,16002,65698,3106,16010,65706
near_jump,3106,16014,65710,3106,16129,65825
far_call,3106,16024,65720,5915,5736,100376
far_call,3106,16040,65736,5915,5736,100376
far_call,3106,16056,65752,5915,5736,100376
far_call,3106,16064,65760,5915,6614,101254
far_call,3106,16081,65777,5915,6592,101232
far_call,3106,16089,65785,5915,6616,101256
near_jump,3106,16099,65795,3106,16129,65825
far_call,3106,16105,65801,5915,5722,100362
far_call,3106,16121,65817,5915,5736,100376
near_jump,3106,16134,65830,3106,16139,65835
near_jump,3106,16136,65832,3106,16354,66050
far_call,3106,32544,82240,5915,706,95346
near_jump,3106,32569,82265,3106,32554,82250
near_call,3106,32591,82287,3106,24624,74320
far_call,3106,32617,82313,5915,6618,101258
far_call,3106,32624,82320,5915,6822,101462
far_call,3106,32653,82349,5915,6618,101258
far_call,3106,32660,82356,5915,6822,101462
far_call,3106,32689,82385,5915,6618,101258
far_call,3106,32696,82392,5915,6822,101462
far_call,3106,32725,82421,5915,6618,101258
far_call,3106,32732,82428,5915,6822,101462
far_call,3106,32756,82452,5915,6618,101258
far_call,3106,32763,82459,5915,6822,101462
far_call,3106,32785,82481,5915,6822,101462
near_jump,3106,32805,82501,3106,32821,82517
near_jump,5915,6786,101426,5915,6797,101437
near_jump,5915,6631,101271,5915,6650,101290
near_jump,5915,6655,101295,5915,6674,101314
near_jump,5915,6676,101316,5915,6699,101339
near_jump,5915,6697,101337,5915,6755,101395
far_call,3106,22846,72542,5915,706,95346
far_call,3106,22915,72611,2065,14632,47672
far_call,3106,37056,86752,5915,706,95346
near_jump,3106,37081,86777,3106,37090,86786
near_jump,3106,37088,86784,3106,37095,86791
far_call,3106,19836,69532,5915,706,95346
near_call,3106,19866,69562,3106,15908,65604
near_jump,3106,19873,69569,3106,19886,69582
near_call,3106,19880,69576,3106,13912,63608
near_jump,3106,19890,69586,3106,19903,69599
near_call,3106,19897,69593,3106,13912,63608
near_call,3106,19904,69600,3106,15326,65022
near_jump,3106,19917,69613,3106,19932,69628
near_jump,3106,19929,69625,3106,19942,69638
far_call,3106,41756,91452,5915,706,95346
near_jump,3106,41767,91463,3106,41772,91468
near_jump,3106,41769,91465,3106,41905,91601
far_call,3106,21336,71032,5915,706,95346
near_call,3106,21369,71065,3106,22056,71752
near_call,3106,21380,71076,3106,3464,53160
near_call,3106,21387,71083,3106,15908,65604
near_call,3106,21395,71091,3106,13912,63608
near_call,3106,21402,71098,3106,15326,65022
far_call,3106,21413,71109,5915,5736,100376
far_call,3106,21428,71124,5915,5736,100376
far_call,3106,21444,71140,5915,5736,100376
near_jump,3106,21457,71153,3106,21464,71160
near_jump,3106,21462,71158,3106,21466,71162
far_call,3106,18842,68538,5915,706,95346
near_jump,3106,18854,68550,3106,18880,68576
near_jump,3106,18878,68574,3106,18903,68599
far_call,3106,10,49706,5915,706,95346
near_jump,3106,22,49718,3106,56,49752
near_jump,3106,54,49750,3106,29,49725
far_call,3106,68,49764,5915,3700,98340
near_jump,3106,80,49776,3106,85,49781
near_jump,3106,82,49778,3106,1749,51445
far_call,3106,28594,78290,5915,706,95346
far_call,3106,28613,78309,5915,3700,98340
near_jump,3106,28625,78321,3106,28636,78332
far_call,3106,13918,63614,5915,706,95346
near_jump,3106,13929,63625,3106,13940,63636
far_call,3106,31352,81048,5915,706,95346
far_call,3106,31388,81084,5915,6618,101258
far_call,3106,31395,81091,5915,6822,101462
far_call,3106,31425,81121,5915,6618,101258
far_call,3106,31432,81128,5915,6822,101462
far_call,3106,31462,81158,5915,6618,101258
far_call,3106,31469,81165,5915,6822,101462
far_call,3106,31498,81194,5915,6618,101258
far_call,3106,31505,81201,5915,6822,101462
far_call,3106,31534,81230,5915,6618,101258
far_call,3106,31541,81237,5915,6822,101462
far_call,3106,31570,81266,5915,6618,101258
far_call,3106,31577,81273,5915,6822,101462
far_call,3106,31601,81297,5915,6618,101258
far_call,3106,31608,81304,5915,6822,101462
far_call,3106,31630,81326,5915,6822,101462
near_jump,3106,31645,81341,3106,31661,81357
far_call,5915,5672,100312,5915,2280,96920
near_jump,5915,5686,100326,5915,5702,100342
near_jump,5915,5699,100339,5915,5714,100354
far_call,3106,32860,82556,5915,706,95346
near_jump,3106,32887,82583,3106,32872,82568
near_call,3106,32909,82605,3106,24624,74320
far_call,3106,32940,82636,5915,6994,101634
far_call,3106,32951,82647,5915,6618,101258
far_call,3106,32958,82654,5915,6822,101462
far_call,3106,32984,82680,5915,6618,101258
far_call,3106,32991,82687,5915,6822,101462
far_call,3106,33016,82712,5915,6618,101258
far_call,3106,33023,82719,5915,6822,101462
far_call,3106,33048,82744,5915,6618,101258
far_call,3106,33055,82751,5915,6822,101462
far_call,3106,33080,82776,5915,6618,101258
far_call,3106,33087,82783,5915,6822,101462
far_call,3106,33107,82803,5915,6618,101258
far_call,3106,33114,82810,5915,6822,101462
far_call,3106,33132,82828,5915,6822,101462
near_jump,3106,33152,82848,3106,33167,82863
far_call,3106,33880,83576,5915,706,95346
near_call,3106,33890,83586,3106,2146,51842
near_call,3106,33901,83597,3106,22056,71752
near_jump,3106,33912,83608,3106,33922,83618
near_jump,3106,33919,83615,3106,33927,83623
near_jump,5915,6834,101474,5915,6853,101493
near_jump,5915,6858,101498,5915,6876,101516
near_jump,5915,6878,101518,5915,6904,101544
near_jump,5915,6900,101540,5915,6969,101609
near_jump,5915,6902,101542,5915,6976,101616
far_call,3106,25126,74822,5915,706,95346
far_call,3106,25158,74854,5915,3700,98340
near_jump,3106,25170,74866,3106,25180,74876
far_call,3106,33210,82906,5915,706,95346
far_call,3106,33224,82920,5915,5150,99790
far_call,3106,33274,82970,5915,3700,98340
near_jump,3106,33286,82982,3106,33312,83008
near_call,3106,33293,82989,3106,2146,51842
far_call,3106,7874,57570,5915,706,95346
far_call,3106,7947,57643,5915,3700,98340
near_jump,3106,7959,57655,3106,7970,57666
far_call,3106,31686,81382,5915,706,95346
near_jump,3106,31697,81393,3106,31780,81476
near_jump,3106,31719,81415,3106,31704,81400
near_jump,3106,31741,81437,3106,31726,81422
near_call,3106,31767,81463,3106,24624,74320
near_jump,3106,31778,81474,3106,31860,81556
far_call,2065,9752,42792,5915,706,95346
near_jump,2065,9777,42817,2065,9782,42822
near_jump,2065,9779,42819,2065,9932,42972
far_call,3106,5426,55122,5915,706,95346
far_call,3106,5500,55196,5915,3700,98340
near_jump,3106,5512,55208,3106,5524,55220
far_call,3106,3017,52713,5915,706,95346
near_jump,3106,3053,52749,3106,3062,52758
far_call,3106,22659,72355,5915,706,95346
far_call,3106,22370,72066,5915,706,95346
near_jump,3106,22389,72085,3106,22394,72090
near_jump,3106,22391,72087,3106,22399,72095
far_call,3106,22535,72231,5915,706,95346
near_jump,3106,22552,72248,3106,22559,72255
far_call,3106,22684,72380,5915,706,95346
near_jump,3106,22697,72393,3106,22728,72424
near_jump,3106,22710,72406,3106,22728,72424
near_jump,3106,22715,72411,3106,22728,72424
