kind,source_linear,source_file_offset,target_segment,target_offset,target_linear,relocation_index
call,887,887,3106,22056,71752,0
call,833,833,3106,15326,65022,1
call,825,825,3106,24624,74320,2
call,789,789,3106,24624,74320,3
call,755,755,3106,3600,53296,4
call,747,747,2065,14632,47672,5
call,716,716,2065,14632,47672,6
call,682,682,2065,14632,47672,7
call,651,651,2065,14632,47672,8
call,541,541,2065,10480,43520,9
call,212,212,3106,22056,71752,10
call,171,171,3106,9836,59532,11
call,159,159,3106,22924,72620,12
call,133,133,5915,5200,99840,13
call,13,13,5782,10,92522,14
call,6,6,5915,706,95346,15
call,1837,1837,2065,8,33048,16
call,1625,1625,3106,3125,52821,17
call,1582,1582,3106,3125,52821,18
call,1542,1542,3106,3125,52821,19
call,1498,1498,3106,3125,52821,20
call,1458,1458,3106,3125,52821,21
call,1418,1418,3106,3125,52821,22
call,1375,1375,3106,3125,52821,23
call,1332,1332,3106,3125,52821,24
call,1292,1292,3106,3125,52821,25
call,1249,1249,3106,3125,52821,26
call,1148,1148,3106,3125,52821,27
call,1105,1105,3106,3125,52821,28
call,1031,1031,3106,9836,59532,29
call,1019,1019,3106,22924,72620,30
call,1007,1007,3106,22056,71752,31
call,2536,2536,3106,3464,53160,32
call,2427,2427,3106,3464,53160,33
call,2343,2343,3106,25666,75362,34
call,2213,2213,3106,18492,68188,35
call,2179,2179,3106,18492,68188,36
call,3562,3562,2065,14632,47672,37
call,3523,3523,2065,14632,47672,38
call,3487,3487,2065,14632,47672,39
call,3445,3445,2065,14632,47672,40
call,3347,3347,2065,14632,47672,41
call,3301,3301,2065,14632,47672,42
call,3267,3267,2065,14632,47672,43
call,3231,3231,2065,14632,47672,44
call,3195,3195,2065,14632,47672,45
call,3092,3092,3106,2146,51842,46
call,4646,4646,5915,6494,101134,47
call,4615,4615,5915,6494,101134,48
call,4499,4499,3106,2146,51842,49
call,4476,4476,5915,6534,101174,50
call,4471,4471,3106,3600,53296,51
call,4463,4463,3106,15908,65604,52
call,4455,4455,3106,2146,51842,53
call,4437,4437,5915,6534,101174,54
call,4426,4426,3106,3600,53296,55
call,4205,4205,5915,6494,101134,56
call,4174,4174,5915,6494,101134,57
call,3840,3840,3106,2146,51842,58
call,3799,3799,3106,2146,51842,59
call,3784,3784,3106,2146,51842,60
call,5394,5394,5915,6534,101174,61
call,5169,5169,3106,2146,51842,62
call,5095,5095,5915,6480,101120,63
call,5069,5069,5915,6480,101120,64
call,4981,4981,5915,6494,101134,65
call,4950,4950,5915,6494,101134,66
call,6114,6114,5915,6480,101120,67
call,6100,6100,5915,6480,101120,68
call,6043,6043,5915,6534,101174,69
call,6028,6028,5915,6534,101174,70
call,5951,5951,3106,3125,52821,71
call,5911,5911,3106,3125,52821,72
call,5757,5757,3106,2146,51842,73
call,5722,5722,3106,2146,51842,74
call,7552,7552,3106,2146,51842,75
call,7534,7534,5915,6534,101174,76
call,7523,7523,3106,3600,53296,77
call,7301,7301,3106,2146,51842,78
call,7277,7277,3106,2146,51842,79
call,7262,7262,3106,2146,51842,80
call,7247,7247,3106,2146,51842,81
call,6903,6903,3106,32538,82234,82
call,8360,8360,3106,3125,52821,83
