Official Ken's Labyrinth v2.1 source function index
Generated from top-level definitions in the released C files.

picrot            GRAPHX.C:5      picrot(posxs, posys, poszs, angs)
spridraw          GRAPHX.C:1760   spridraw(x, y, siz, walnume)
pictur            GRAPHX.C:1887   pictur(x,y,siz,ang,walnume)
doordraw          GRAPHX.C:2121   doordraw(x,y,posxs,posys,poszs,angs,walnume)
statusbardraw     GRAPHX.C:2455   statusbardraw(picx, picy, xsiz, ysiz, x, y, walnume, pageoffs)
vline             GRAPHX.C:2524   vline(x, y, siz, walnume, picplc)
initialize        INIT.C:3      initialize()
main              LAB3D.C:10     main(int argc,char **argv)
loadboard         SUBS.C:26     loadboard()
keyhandler        SUBS.C:300    void interrupt far keyhandler()
loadtables        SUBS.C:328    loadtables()
ksay              SUBS.C:350    int ksay(filenum)
reset_dsp         SUBS.C:622    reset_dsp()
divzerohandler    SUBS.C:653    void interrupt far divzerohandler()
checkobj          SUBS.C:674    checkobj(x,y,posxs,posys,angs,num)
linecompare       SUBS.C:697    linecompare(lin)
drawlife          SUBS.C:715    drawlife()
setmode360240     SUBS.C:732    setmode360240()
loadwalls         SUBS.C:758    loadwalls()
loadgame          SUBS.C:1017   loadgame(gamenum)
savegame          SUBS.C:1212   savegame(gamenum)
introduction      SUBS.C:1339   introduction(songnum)
loadmusic         SUBS.C:1936   loadmusic(filename)
outdata           SUBS.C:2069   outdata(synth,index,data)
musicon           SUBS.C:2094   musicon()
musicoff          SUBS.C:2179   musicoff()
ksmhandler        SUBS.C:2251   void interrupt far ksmhandler()
setinst           SUBS.C:2460   setinst(synth,chan,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10)
setmidiinsts      SUBS.C:2500   setmidiinsts()
checkhitwall      SUBS.C:2534   checkhitwall(oposx,oposy,posix,posiy)
wingame           SUBS.C:2869   wingame(episode)
winallgame        SUBS.C:3122   winallgame()
fade              SUBS.C:3242   fade(brightness)
emmallocate       SUBS.C:3329   emmallocate(needpages)
emmdeallocate     SUBS.C:3382   emmdeallocate(emmhandlenum)
emsetpages        SUBS.C:3403   emsetpages(logpage,physpage)
convallocate      SUBS.C:3428   convallocate(numparagraphs)
convdeallocate    SUBS.C:3447   convdeallocate(segnum)
xmsallocate       SUBS.C:3463   xmsallocate(kilonum)
xmsdeallocate     SUBS.C:3500   xmsdeallocate(xmshandlenum)
xmsmemmove        SUBS.C:3511   xmsmemmove(sourhand, souroff, desthand, destoff, numbytes)
showcompass       SUBS.C:3551   showcompass(compang)
kgif              SUBS.C:3560   kgif(filenum)
setgamevideomode  SUBS.C:3896   setgamevideomode()
textprint         SUBS.C:3940   textprint(x,y,coloffs,pageoffs)
loadstory         SUBS.C:4015   loadstory(boardnume)
setupmouse        SUBS.C:4083   setupmouse()
statusbaralldraw  SUBS.C:4108   statusbaralldraw()
hiscorecheck      SUBS.C:4294   hiscorecheck()
setuptextbuf      SUBS.C:4534   setuptextbuf(templong)
getname           SUBS.C:4556   getname()
drawscore         SUBS.C:4660   drawscore(thescore)
drawtime          SUBS.C:4682   drawtime(thetime)
screencapture     SUBS.C:4706   screencapture()
mainmenu          SUBS.C:4816   mainmenu()
getselection      SUBS.C:4952   getselection(xoffs, yoffs, nowselector, totselectors)
drawmenu          SUBS.C:5038   drawmenu(xsiz, ysiz, walnume)
creditsmenu       SUBS.C:5073   creditsmenu()
bigstorymenu      SUBS.C:5088   bigstorymenu()
areyousure        SUBS.C:5148   areyousure()
helpmenu          SUBS.C:5170   helpmenu()
sodamenu          SUBS.C:5185   sodamenu()
orderinfomenu     SUBS.C:5353   orderinfomenu()
loadsavegamemenu  SUBS.C:5410   loadsavegamemenu(whichmenu)
newgamemenu       SUBS.C:5545   newgamemenu()
pressakey         SUBS.C:5587   pressakey()
loadvms           SUBS.C:5608   loadvms(walnume)
copyslots         SUBS.C:5825   copyslots(slotnum)
youarehere        SUBS.C:5913   youarehere()
copywindow        SUBS.C:5947   copywindow(souroffs,destoffs,numblocks)

Total: 70 functions
